day	month	Region	Temperature	 RH	 Ws	Rain 	DMC	DC	BUI	Classes  
15	6	0	28	90	15	NA	7.2	14.7	7.1	0
31	8	1	28	80	21	16.8	8.7	8.7	8.3	0
3	6	1	NA	82	22	13.1	2.5	7.1	2.7	0
2	9	1	22	86	NA	10.1	0.7	7	1.1	0
18	6	0	33	62	10	8.7	4.6	8.3	4.4	0
14	9	1	22	76	26	8.3	1.1	7	1.6	0
1	9	1	25	76	17	7.2	1.3	7.5	1.8	0
6	9	0	34	NA	14	6.5	3.3	9.1	3.5	0
8	7	0	35	47	18	6	9.8	9.7	9.4	1
25	9	1	26	81	21	5.8	3	7.7	3	0
17	6	0	31	69	17	4.7	3.9	8	3.8	0
13	9	1	25	86	21	4.6	1.3	7.5	1.8	0
19	6	0	32	67	14	4.5	4.4	8.2	4.2	0
27	9	0	28	87	15	4.4	6.5	8	6.2	0
5	9	0	30	58	12	4.1	4	8.4	3.9	0
2	6	0	30	73	13	4	2.7	7.8	2.9	0
3	9	1	25	78	15	3.8	1.2	7.5	1.7	0
10	7	0	34	51	16	3.8	8	9.5	7.7	0
6	8	0	30	54	14	3.1	11	9.1	10.5	0
15	6	1	28	NA	17	3.1	3	7.4	3	0
7	8	0	34	63	13	2.9	7.2	9.8	6.9	0
11	7	0	34	56	15	2.9	7.1	9.5	6.8	0
4	6	1	25	89	13	2.5	1.3	6.9	1.7	0
1	7	0	28	58	18	2.2	3.2	8.5	3.3	0
3	6	0	29	80	14	2	NA	7.6	2.6	0
13	6	0	30	52	15	2	11.4	7.8	10.9	0
24	9	0	26	49	6	2	11.9	28.1	11.9	0
9	7	0	36	43	15	1.9	9.4	9.9	9	1
10	9	1	33	73	12	1.8	2.2	8.9	2.7	0
11	9	1	30	77	21	1.8	1.9	8.4	2.4	0
29	9	1	26	80	16	1.8	2.9	7.7	3	0
30	6	0	34	42	15	1.7	12	8.5	11.5	0
9	7	1	32	68	14	1.4	7.7	9.2	7.4	0
30	9	1	25	78	14	1.4	1.9	7.5	2.4	0
2	6	1	29	61	NA	1.3	4.1	7.6	3.9	0
8	6	0	28	51	17	1.3	7.7	7.4	7.3	0
2	7	1	27	75	19	1.2	2.4	8.3	2.8	0
13	6	1	27	84	21	1.2	6.7	17	6.7	0
25	7	0	39	64	9	1.2	11.7	15.9	11.4	0
10	9	0	29	74	15	1.1	4.7	8.2	4.6	0
22	6	0	33	46	14	1.1	8.1	8.3	7.7	0
24	7	0	33	63	17	1.1	20.9	56.6	21.7	0
1	7	1	29	68	19	1	2.5	8.6	2.9	0
9	9	1	30	NA	15	1	2.1	8.4	2.6	0
8	9	1	30	73	17	0.9	2.6	8.4	3	0
23	6	0	33	59	16	0.8	7	8.3	6.7	0
30	8	1	35	70	17	0.8	25.2	180.4	37.4	0
1	6	0	32	71	12	0.7	2.5	8.2	2.8	0
3	7	1	32	76	20	0.7	2.6	9.2	3	0
10	7	1	33	69	13	0.7	6	9.3	5.8	0
14	6	0	27	79	16	0.7	6.4	7.3	6.1	0
16	6	1	29	89	13	0.7	1.7	7.6	2.2	0
28	9	1	NA	47	14	0.7	7.1	8.8	6.8	0
13	7	0	NA	45	13	0.6	11.3	10.4	10.9	1
14	7	1	NA	61	13	0.6	7.8	22.9	8.4	0
17	6	1	NA	89	16	0.6	1.1	7.8	1.6	0
22	9	1	NA	50	19	0.6	10.6	41.4	12.9	0
24	9	1	29	65	19	0.6	5.5	15.2	5.8	0
29	6	0	37	36	13	0.6	17.9	36.7	17.8	1
7	7	0	38	43	13	0.5	13	35.4	13.7	1
14	6	1	30	NA	20	0.5	4.6	7.8	4.4	0
23	9	1	32	54	11	0.5	7.9	30.4	9.6	0
28	9	0	27	87	29	0.5	3.5	7.9	3.4	0
29	8	0	35	53	17	0.5	20.7	149.2	30.6	1
2	8	1	35	55	12	0.4	5.8	10	5.5	0
12	8	0	39	21	17	0.4	18.4	41.5	18.4	1
15	7	1	30	80	19	0.4	5.2	17	5.9	0
15	9	1	24	82	15	0.4	0.9	7.3	1.4	0
16	6	0	29	87	15	0.4	4.2	8	4.1	0
20	6	1	30	80	16	0.4	3.4	27.1	5.1	0
23	7	1	27	66	22	0.4	10.5	71.3	15.4	0
28	8	0	35	56	14	0.4	37	166	30.6	0
3	8	1	35	63	14	0.3	5.7	10	5.5	0
6	7	0	35	42	15	0.3	15.5	45.1	16.7	1
7	9	1	31	71	17	0.3	3.2	30.1	5.1	0
8	8	1	32	60	18	0.3	11.3	47	14.1	0
12	8	1	35	51	13	0.3	15.6	75.1	20.7	0
15	8	1	36	NA	13	0.3	15.6	92.5	22	1
15	8	0	35	NA	13	0.3	16.9	54.2	19	1
16	8	1	36	61	18	0.3	11.7	90.4	17.6	1
18	6	1	31	78	14	0.3	1.9	8	NA	0
29	6	1	32	47	13	0.3	18.4	84.4	23.8	0
4	9	0	30	NA	15	0.2	4.1	26.6	6	0
5	6	0	32	60	14	0.2	6	17.6	6.5	0
7	6	0	35	44	17	0.2	9.9	28.9	10.7	1
7	7	1	35	64	18	0.2	9.7	40.4	12.1	0
9	6	1	25	88	13	0.2	7.9	38.8	10.5	0
10	8	0	39	39	15	0.2	15.8	35.4	15.8	1
13	8	0	35	34	16	0.2	16.9	45.1	17.5	1
14	7	0	37	NA	18	0.2	12.9	14.6	12.5	1
20	6	0	31	72	14	0.2	3.8	8	3.7	0
20	9	0	34	58	13	0.2	18.7	88	24.4	0
26	7	0	35	58	10	0.2	10.8	19.7	10.7	0
30	9	0	24	64	15	0.2	3.8	16.5	4.8	0
3	7	0	34	56	17	0.1	9.7	27.3	10.3	1
4	9	1	29	73	17	0.1	1.9	15.7	2.9	0
5	8	0	34	NA	17	0.1	23.6	52.5	23.5	1
6	6	0	35	54	11	0.1	8.4	26.3	9.3	1
6	9	1	29	74	19	0.1	3.6	NA	5.6	0
9	6	0	27	59	18	0.1	8.5	14.7	8.3	0
12	7	1	31	75	13	0.1	7.9	27.7	9.2	0
16	8	0	40	41	10	0.1	22.6	65.1	24.2	1
18	9	0	36	33	13	0.1	25.8	77.8	NA	1
19	8	0	35	66	15	0.1	32.7	96.8	35.5	1
19	9	0	29	41	8	0.1	24.9	86	28.9	1
19	6	1	31	55	16	0.1	4.5	16	5.3	0
20	7	1	33	65	15	0.1	12.3	62.1	16.5	1
22	6	1	31	67	17	0.1	7	39.5	9.7	0
22	7	1	28	79	18	0.1	16.4	79.9	21.7	0
23	6	1	32	62	18	0.1	8.2	47.7	11.5	1
24	7	1	28	78	16	0.1	9.6	79.7	14.7	0
29	9	0	24	54	18	0.1	4.3	15.2	5.1	0
1	6	1	29	57	18	0	3.4	7.6	3.4	0
1	8	1	36	45	14	0	NA	10.2	4.7	0
1	8	0	38	52	14	0	4.4	10.5	4.4	0
1	9	0	29	86	16	0	0.9	8.2	1.4	0
2	7	0	33	48	16	0	7.9	17.8	7.8	1
2	8	0	40	34	NA	0	10.8	21.4	10.6	1
2	9	0	28	67	19	0	2.9	16.3	4	0
3	8	0	39	33	17	0	17.1	32.1	16.9	1
3	9	0	28	75	16	0	4.4	24.3	6	1
4	8	1	34	69	13	0	8.2	19.8	8.2	1
4	7	0	34	58	18	0	13.6	36.8	14.1	1
4	8	0	38	35	15	0	23	42.7	22.9	1
4	7	1	33	78	17	0	4.6	18.5	5.7	0
4	6	0	30	64	14	0	5.2	15.4	5.6	0
5	7	1	33	66	14	0	7.6	27.9	9.1	1
5	NA	1	34	65	13	0	11.1	29.7	11.5	1
5	9	1	29	75	16	0	3.4	24	5.1	1
5	7	0	34	45	18	0	18.7	46.4	18.7	1
5	6	1	27	77	16	0	3	14.2	3.9	0
6	6	1	31	67	14	0	5.8	22.2	7	1
6	7	1	32	63	14	0	NA	37	12.5	1
6	8	1	32	75	14	0	13	39.1	14.2	1
7	6	1	33	54	13	0	9.9	30.5	10.9	1
7	8	1	32	69	16	0	15.5	48.6	17.2	1
7	9	0	31	62	15	0	5.8	17.7	6.4	1
8	6	1	30	73	15	0	12.1	38.3	13.5	1
8	7	1	33	68	19	NA	12.5	49.8	15.4	1
8	8	0	37	56	11	0	11.2	20.2	11	1
8	9	0	30	88	14	0	6.6	26.1	8.1	1
9	8	1	35	59	17	0	14.8	57	17.9	1
9	8	0	39	43	12	0	16.5	30.9	16.4	1
9	9	0	30	NA	15	0	7.9	34.5	10	1
10	8	1	35	55	14	0	18.6	67	21.9	1
10	6	0	30	41	15	0	13.3	22.5	13.1	1
10	6	1	28	79	12	0	9.5	NA	12.6	0
11	6	1	31	65	14	0	12.5	54.3	15.8	1
11	8	1	35	63	13	0	21.7	77	25.5	1
11	6	0	31	42	21	0	18.2	30.5	18	1
11	8	0	40	31	15	0	22.5	46.3	22.4	1
11	7	1	33	76	14	0	8.1	18.7	8.1	0
11	9	NA	30	73	14	0	6.5	16.6	NA	0
12	6	1	26	81	19	0	13.8	61.4	17.7	1
12	6	0	27	58	17	NA	21.3	37.8	21.2	1
12	7	0	36	44	13	0	12.6	19.4	12.5	1
12	9	0	31	72	14	0	8.3	25.2	9.1	1
12	9	1	29	88	13	0	2.6	NA	3.7	0
13	8	1	35	63	NA	0	19	85.1	24.4	1
13	9	0	29	49	19	0	11.5	33.4	12.4	1
13	7	1	34	81	15	0	9.7	37.2	11.7	0
14	8	1	33	66	14	0	21.7	94.7	27.2	1
14	8	0	37	40	13	0	22.3	55.5	22.3	1
14	9	0	NA	81	15	0	12.6	41.5	14.3	1
15	7	0	34	NA	17	0	18	24.1	17.7	1
15	9	0	32	NA	13	0	16	50.2	17.8	1
16	7	0	31	83	17	0	19.4	33.1	19.2	1
16	9	0	33	26	13	NA	21.2	59.2	22.4	1
16	7	1	28	76	21	NA	7	25.5	8.3	0
16	9	1	30	65	14	NA	3.2	15.7	4.2	0
17	7	1	29	70	14	NA	9.4	34.1	11.1	1
17	8	1	37	52	18	NA	16	100.7	22.9	1
17	9	1	31	52	14	NA	6.4	24.3	7.7	1
17	7	0	32	81	17	NA	21.1	42.3	20.9	1
17	8	0	42	24	9	0	30.3	76.4	30.4	1
17	9	0	34	44	12	0	25.2	63.3	26.2	1
18	7	1	31	68	14	0	12.1	43.1	14.2	1
18	8	1	36	54	18	0	20	110.9	27.5	1
18	9	1	32	49	11	0	9.8	33.1	11.3	1
18	7	0	33	68	15	0	23.9	51.6	NA	1
18	8	0	37	37	14	0	35.9	86.8	NA	1
19	7	1	35	59	17	0	12	52.8	18.2	1
19	8	1	35	62	19	0	23.2	120.9	31.3	1
19	9	1	29	57	14	0	12.5	41.3	14.2	1
19	7	0	34	58	16	0	27.8	61.1	27.7	1
20	9	1	28	84	18	0	13.5	49.3	16	1
20	8	1	35	68	19	0	25.9	130.6	34.7	1
20	7	0	36	50	16	0	32.7	71	32.6	1
20	8	0	36	81	15	0	34.4	107	38.1	1
21	6	1	30	78	14	0	6.3	31.6	8.4	1
21	7	1	33	70	17	0	18.5	71.5	22.4	1
21	8	1	36	58	19	0	29.6	141.1	38.8	1
21	9	1	31	55	11	0	16.5	57.9	19.2	1
21	6	0	32	55	14	0	8.3	18.4	8.2	1
21	7	0	36	29	18	0	39.6	80.6	39.5	1
21	8	0	36	71	15	0	36.9	117.1	41.3	1
21	9	0	35	34	17	0	23.6	97.3	29.4	1
22	8	1	36	55	18	0	33.5	151.3	43.1	1
22	7	0	32	48	18	0	44.2	90.1	44	1
22	8	0	37	53	14	0	41.1	127.5	45.5	1
22	9	0	33	64	13	0	26.1	106.3	32.4	1
23	8	1	36	53	16	0	37.6	161.5	47.5	1
23	7	0	31	71	17	0	46.6	99	46.5	1
23	8	0	36	43	16	0	46.1	137.7	50.2	1
23	9	0	35	56	14	0	29.4	115.6	36	1
24	6	1	32	66	17	0	11.2	55.8	14.9	1
24	8	1	34	64	14	0	40.5	171.3	50.9	1
24	6	0	35	68	16	0	10	17	9.9	1
24	8	0	35	38	15	0	51.3	147.7	54.9	1
25	8	1	35	60	15	0	43.9	181.3	54.7	1
25	6	1	31	64	15	0	14.2	63.8	18.3	1
25	7	1	31	65	18	0	12.5	88.7	18.5	1
25	6	0	34	70	16	0	12.8	25.6	12.7	1
25	8	0	34	40	18	0	56.3	157.5	59.5	1
25	9	0	28	70	15	0	13.8	36.1	14.1	0
26	8	1	31	78	18	0	45.6	190.6	57.1	1
26	6	1	31	64	18	0	17.8	71.8	21.6	1
26	7	1	36	53	19	0	17.1	98.6	23.9	1
26	6	0	36	62	16	0	16.5	34.5	16.4	1
26	8	0	33	37	16	0	61.3	167.2	64	1
26	9	0	30	65	14	0	16	44.5	16.9	1
26	9	1	31	54	11	0	6	NA	6.2	0
27	8	1	33	82	21	0	47	NA	59.3	1
27	6	1	34	53	18	0	21.6	NA	25.8	1
27	7	1	36	48	13	0	22.2	NA	29.4	1
27	9	1	31	66	11	0	8.3	NA	9	1
27	6	0	36	55	15	0	20.9	NA	20.8	1
27	8	0	36	54	14	0	65.9	NA	68	1
27	7	0	29	87	18	0	11.8	NA	11.8	0
28	8	1	34	64	16	0	50.2	NA	62.9	1
28	6	1	NA	NA	14	0	25.5	NA	29.7	1
28	7	1	33	76	15	0	24.4	NA	32.1	1
28	6	0	37	37	13	0	27.2	NA	27.1	1
28	7	0	33	57	16	0	15.7	37.6	15.7	1
29	7	1	NA	73	15	0	26.7	127	35	1
29	8	1	35	48	18	0	54.2	220.4	67.4	1
29	7	0	34	59	NA	0	19.5	47.2	19.5	1
30	6	1	33	50	14	0	22.9	92.8	28.3	1
30	7	1	31	79	15	0	28.5	136	37.4	1
30	7	0	36	56	NA	0	23.8	57.1	23.8	1
30	8	0	34	49	15	0	24.8	159.1	35.7	1
31	7	1	35	64	17	0	31.9	145.7	41.2	1
31	7	0	37	55	15	0	28.3	67.2	28.3	1
31	8	0	30	59	19	0	27.8	168.2	39.3	1
